date,lolpatch,team,matchtype,gamenumber,side,victorydefeat,time,ban1,ban2,ban3,ban4,ban5,towersdestroyed,inhibitorsdestroyed,baronsslain,dragonsslain,riftheraldsslain,dragons,role,summoner,champion,kill,death,assist,largestkillingspree,largestmultikill,firstblood,totaldamagedealttochampions,physicaldamagedealttochampions,magicdamagedealttochampions,truedamagedealttochampions,totaldamagedealt,physicaldamagedealt,magicdamagedealt,truedamagedealt,largestcriticalstrike,totaldamagetoobjectives,totaldamagetoturrets,damagehealed,damagetaken,physicaldamagetaken,magicdamagetaken,truedamagetaken,wardsplaced,wardsdestroyed,stealthwardspurchased,controlwardspurchased,goldearned,goldspent,minionskilled,neutralminionskilled,neutralminionskilledinteamsjungle,neutralminionskilledinenemyjungle,kdaratio,killparticipation,damageperdeath,damageshare,damagepergold,goldadvantage,csadvantage,csperminute
2019-11-12,9.22,Lindenwood University,scrim,1,blue,defeat,24:40:00,Kai'Sa,Morgana,LeBlanc,Yasuo,Kassadin,0,0,0,1,0,Ocean,top,PoppyaOn,Akali,2,6,1,2,1,0,10.6,3.5,7.1,0,64,14.1,47.9,2.1,0,2.3,0,4,19.6,11.8,7.1,0.7,4,1,0,0,6.9,6.5,128,0,0,0,0.5,0.214285714,1.766666667,0.20662768,1.536231884,-4,-81,5.189189189
2019-11-12,9.22,Lindenwood University,scrim,1,blue,defeat,24:40:00,Kai'Sa,Morgana,LeBlanc,Yasuo,Kassadin,0,0,0,1,0,Ocean,jng,MoonJuices,Skarner,8,5,2,2,2,0,14.9,9.4,3.4,2,121,83.7,33.2,4,0,6.9,0,6.9,21.5,15.2,5.7,0.6,3,5,0,1,10.8,9.4,28,102,86,0,2,0.714285714,2.98,0.290448343,1.37962963,-0.5,-27,5.27027027
2019-11-12,9.22,Lindenwood University,scrim,1,blue,defeat,24:40:00,Kai'Sa,Morgana,LeBlanc,Yasuo,Kassadin,0,0,0,1,0,Ocean,mid,VinaZz VI,Qiyana,2,5,4,2,1,0,11.6,9.7,1.1,0.8,78.7,72.7,5.2,0.8,0,1.3,0,1.6,13.3,11.3,1.3,0.7,10,2,0,2,7.9,7.2,146,4,2,0,1.2,0.428571429,2.32,0.226120858,1.46835443,-1.3,18,6.081081081
2019-11-12,9.22,Lindenwood University,scrim,1,blue,defeat,24:40:00,Kai'Sa,Morgana,LeBlanc,Yasuo,Kassadin,0,0,0,1,0,Ocean,adc,Puzyri,Caitlyn,1,4,7,1,1,0,9.2,8.3,0.9,0,89.4,84.9,1.3,3.2,726,0.6,0,2.9,11.9,8.6,2.3,1,7,2,0,3,8.2,7.7,172,2,1,0,2,0.571428571,2.3,0.179337232,1.12195122,-2.3,16,7.054054054
2019-11-12,9.22,Lindenwood University,scrim,1,blue,defeat,24:40:00,Kai'Sa,Morgana,LeBlanc,Yasuo,Kassadin,0,0,0,1,0,Ocean,sup,Kendallizer,Leona,1,6,6,1,1,0,5,0.9,3.4,0.7,20.7,6.6,8,6,0,0.8,0,1.6,15.6,10.1,4.5,0.9,19,11,0,4,6.4,6.2,51,0,0,0,1.166666667,0.5,0.833333333,0.097465887,0.78125,-1,47,2.067567568
2019-11-12,9.22,Grand View University,scrim,1,red,victory,24:40:00,Kled,Nunu & Willump,Zac,Zoe,Camille,7,1,1,2,1,Mountain Ocean,top,cired,Vladimir,5,2,3,5,1,0,16,1,15,0,123.8,12.7,108.3,2.8,0,5.8,4.2,18.1,18.3,10.5,6.5,1.3,9,0,0,2,10.9,10.8,192,17,13,1,4,0.307692308,8,0.246533128,1.467889908,4,81,8.472972973
2019-11-12,9.22,Grand View University,scrim,1,red,victory,24:40:00,Kled,Nunu & Willump,Zac,Zoe,Camille,7,1,1,2,1,Mountain Ocean,jng,DreadJoker99,Rek'Sai,8,3,6,4,1,0,13.9,11.6,0,2.3,147.7,117.5,2.4,27.7,0,35.3,4,10.8,22.5,17.6,4.1,0.8,4,1,0,4,11.3,11.1,23,134,62,22,4.666666667,0.538461538,4.633333333,0.214175655,1.230088496,0.5,27,6.364864865
2019-11-12,9.22,Grand View University,scrim,1,red,victory,24:40:00,Kled,Nunu & Willump,Zac,Zoe,Camille,7,1,1,2,1,Mountain Ocean,mid,Mesterjakel,Pantheon,5,3,9,4,2,0,15,13,0.6,1.3,85,77.4,1.9,5.7,0,7,1.5,4.1,16.4,13.5,2.3,0.6,8,2,0,2,9.2,8.4,132,0,0,0,4.666666667,0.538461538,5,0.231124807,1.630434783,1.3,-18,5.351351351
2019-11-12,9.22,Grand View University,scrim,1,red,victory,24:40:00,Kled,Nunu & Willump,Zac,Zoe,Camille,7,1,1,2,1,Mountain Ocean,adc,Køusei,Xayah,7,2,9,4,1,1,15.4,14.9,0.4,0.1,101.5,96.4,1.4,3.7,415,13.3,5.9,1.7,10.1,7.9,1.8,0.4,9,2,0,2,10.5,9.8,154,4,0,4,8,0.615384615,7.7,0.237288136,1.466666667,2.3,-16,6.405405405
2019-11-12,9.22,Grand View University,scrim,1,red,victory,24:40:00,Kled,Nunu & Willump,Zac,Zoe,Camille,7,1,1,2,1,Mountain Ocean,sup,Dracolords,Rakan,1,4,17,1,1,0,4.6,1.2,3.3,0.1,9.7,4.6,4.7,0.4,0,2.1,1.1,2.6,9.4,5.2,3.8,0.4,23,3,0,8,7.4,6.9,4,0,0,0,4.5,0.692307692,1.15,0.070878274,0.621621622,1,-47,0.162162162
